"Pending Department Head","विभाग प्रमुख की स्वीकृति हेतु लंबित",
"Pending AVP","AVP की स्वीकृति हेतु लंबित",
"Pending Purchase Manager","क्रय प्रबंधक की स्वीकृति हेतु लंबित",
"Pending CEO","CEO की स्वीकृति हेतु लंबित",
"Pending MD","MD की स्वीकृति हेतु लंबित",
"Pending Stock User","भंडार उपयोगकर्ता की समीक्षा हेतु लंबित",
"Approved","अनुमोदित",
"Rejected","अस्वीकृत",
"Revised","संशोधित",
"On Hold","रोका गया",
"Not Submitted","जमा नहीं किया गया",
"Approve","अनुमोदन करें",
"Reject","अस्वीकार करें",
"Submit for Approval","अनुमोदन हेतु जमा करें",
"Revise","संशोधित करें",
"Hold","रोकें",
"Resume","फिर से शुरू करें",
"Department Head","विभाग प्रमुख",
"Stock User","भंडार उपयोगकर्ता",
"Purchase Manager","क्रय प्रबंधक",
"Grain Purchase Manager","अनाज क्रय प्रबंधक",
"AVP","AVP",
"CEO","CEO",
"MD","MD",
"Current Status","वर्तमान स्थिति",
"Next Action","अगली कार्रवाई",
"Next Approver","अगला अनुमोदक",
"Step","चरण",
"of","में से",
"Created by","द्वारा बनाया गया",
"Approval Routing Notice","अनुमोदन मार्ग सूचना",
"Cancel","रद्द करें",
"Submit Anyway","फिर भी जमा करें",
"Recommended","सुझाव",
